mode,ngram,nr_cand,diversity,avg_metrics,time
Train,"(1, 2)",5,0.6,0.602125,187.2231297492981
Test,"(1, 2)",5,0.6,0.5960618329039382,64.73896074295044
Train,"(1, 3)",2,0.2,0.7190625,239.3681645393372
Test,"(1, 3)",2,0.2,0.7177033492822966,78.80507302284241
Train,"(1, 3)",2,0.3,0.751375,235.02933716773987
Test,"(1, 3)",2,0.3,0.7491718807508281,78.35538625717163
Train,"(1, 3)",2,0.4,0.7625,231.53389406204224
Test,"(1, 3)",2,0.4,0.7613176297386823,77.95220017433167
Train,"(1, 3)",2,0.5,0.758125,232.06830835342407
Test,"(1, 3)",2,0.5,0.756900993743099,79.17790079116821
Train,"(1, 3)",2,0.6,0.7325625,233.00451231002808
Test,"(1, 3)",2,0.6,0.7309532572690467,77.09446120262146
Train,"(1, 3)",3,0.2,0.7190625,223.01410841941836
Test,"(1, 3)",3,0.2,0.7177033492822966,75.64415407180786
Train,"(1, 3)",3,0.3,0.751375,223.42594456672668
Test,"(1, 3)",3,0.3,0.7491718807508281,78.16866040229797
Train,"(1, 3)",3,0.4,0.7625,223.51316165924072
Test,"(1, 3)",3,0.4,0.7613176297386823,77.54209971427917
Train,"(1, 3)",3,0.5,0.758125,225.8226532936096
Test,"(1, 3)",3,0.5,0.756900993743099,77.55748319625854
Train,"(1, 3)",3,0.6,0.7325625,225.922358751297
Test,"(1, 3)",3,0.6,0.7309532572690467,77.30450248718262
Train,"(1, 3)",4,0.2,0.7190625,225.03000617027283
Test,"(1, 3)",4,0.2,0.7177033492822966,76.587575674057
Train,"(1, 3)",4,0.3,0.751375,225.26334190368647
Test,"(1, 3)",4,0.3,0.7491718807508281,77.33672046661377
Train,"(1, 3)",4,0.4,0.7625,224.7690236568451
Test,"(1, 3)",4,0.4,0.7613176297386823,76.46941900253296
Train,"(1, 3)",4,0.5,0.758125,222.76165175437927
Test,"(1, 3)",4,0.5,0.756900993743099,75.18394541740417
Train,"(1, 3)",4,0.6,0.7325625,225.01971054077148
Test,"(1, 3)",4,0.6,0.7309532572690467,76.82203555107117
Train,"(1, 3)",5,0.2,0.7190625,226.22465562820437
Test,"(1, 3)",5,0.2,0.7177033492822966,76.27459144592285
Train,"(1, 3)",5,0.3,0.751375,226.05216217041016
Test,"(1, 3)",5,0.3,0.7491718807508281,76.67889833450317
Train,"(1, 3)",5,0.4,0.7625,223.72919011116028
Test,"(1, 3)",5,0.4,0.7613176297386823,76.10277318954468
Train,"(1, 3)",5,0.5,0.758125,224.5936808586121
Test,"(1, 3)",5,0.5,0.756900993743099,77.7048888206482
Train,"(1, 3)",5,0.6,0.7325625,225.1729729175568
Test,"(1, 3)",5,0.6,0.7309532572690467,76.40253806114197
Train,"(2, 2)",4,0.5,0.6212708333333332,138.52115774154663
Test,"(2, 2)",4,0.5,0.6166728008833272,47.80566573143005
Test,"(2, 2)",4,0.5,0.6140964298859035,47.80566573143005
Test,"(2, 2)",4,0.5,0.6149552202183781,47.80566573143005
Train,"(2, 2)",4,0.6,0.609625,139.53112077713013
Train,"(2, 2)",4,0.6,0.607875,139.53112077713013
Train,"(2, 2)",4,0.6,0.6084583333333333,139.53112077713013
Test,"(2, 2)",4,0.6,0.6071034228928965,47.35314965248108
Test,"(2, 2)",4,0.6,0.604527051895473,47.35314965248108
Test,"(2, 2)",4,0.6,0.6053858422279474,47.35314965248108
Train,"(2, 2)",5,0.2,0.6105,139.06735730171204
Train,"(2, 2)",5,0.2,0.60875,139.06735730171204
Train,"(2, 2)",5,0.2,0.6093333333333334,139.06735730171204
Test,"(2, 2)",5,0.2,0.6012145748987854,47.15960788726807
Test,"(2, 2)",5,0.2,0.5986382039013618,47.15960788726807
Test,"(2, 2)",5,0.2,0.5994969942338363,47.15960788726807
Train,"(2, 2)",5,0.3,0.6231875,138.34181022644043
Train,"(2, 2)",5,0.3,0.6214375,138.34181022644043
Train,"(2, 2)",5,0.3,0.6220208333333334,138.34181022644043
Test,"(2, 2)",5,0.3,0.6216415163783585,46.48115420341492
Test,"(2, 2)",5,0.3,0.6190651453809348,46.48115420341492
Test,"(2, 2)",5,0.3,0.6199239357134094,46.48115420341492
Train,"(2, 2)",5,0.4,0.6275625,139.08474779129028
Train,"(2, 2)",5,0.4,0.6258125,139.08474779129028
Train,"(2, 2)",5,0.4,0.6263958333333334,139.08474779129028
Test,"(2, 2)",5,0.4,0.6258741258741258,48.23597598075867
